TestID;Number of Peers;P2P Algorithm;Total Duration [s];Total Received Bytes;Minimum Transfer Time Error Rate [%];Average Transfer Time Error Rate [%];Maximum Transfer Time Error Rate [%];Same PDF File;Maximum Connection Time [s];Minimum Connection Time [s];Average Connection Time [s];Maximum Transfer Time [s];Minimum Transfer Time [s];Average Transfer Time [s];Maximum Total Time [s];Minimum Total Time [s];Average Total Time [s];Maximum Latency Error Rate [%];Minimum Latency Error Rate [%];Average Latency Error Rate [%];Maximum Bandwidth Error Rate [%];Minimum Bandwidth Error Rate [%];Average Bandwidth Error Rate [%];Smallest Bandwidth [Kbps]
Test4;50;USED;189.75;32095088;0.74;3.27;29.38;true;146.89;0.11;97.64;136.04;18.70;65.17;184.08;135.53;162.81;;;;;;;1910
Test5;50;NOT USED;461.96;32095088;0.71;0.72;0.77;true;3.31;0.12;0.27;451.56;451.30;451.38;454.63;451.45;451.66;;;;;;;573
Test6;50;USED;102.73;15890720;0.76;1.53;8.37;true;79.94;0.11;49.95;72.12;8.89;32.09;98.82;67.18;82.04;;;;;;;1910
Test7;50;USED;187.82;32095088;0.73;1.04;2.08;true;148.11;0.11;96.21;135.47;17.84;64.49;183.35;135.52;160.71;;;;;;;1910
Test8;75;USED;130.91;15890720;0.76;0.96;1.19;true;92.37;0.11;60.75;71.82;27.54;42.44;126.83;71.64;103.19;;;;;;;1791
Test9;75;USED;241.69;32095088;0.73;0.83;1.39;true;163.46;0.12;115.62;145.35;55.54;85.63;235.32;144.53;201.25;;;;;;;1791
Test10;50;NOT USED;237.79;15890720;0.72;0.76;0.95;true;0.16;0.11;0.14;223.52;223.47;223.49;223.66;223.61;223.63;;;;;;;573
Test11;50;NOT USED;467.60;32095088;0.71;0.75;0.95;true;0.18;0.12;0.14;451.45;451.29;451.35;451.59;451.43;451.49;;;;;;;573
Test12;75;NOT USED;356.21;15890720;0.72;0.76;0.78;true;0.16;0.11;0.13;335.40;335.21;335.34;335.55;335.33;335.48;;;;;;;382
Test13;75;NOT USED;697.60;32095088;0.71;0.75;0.77;true;3.21;0.11;0.17;677.33;676.93;677.23;680.46;677.08;677.41;;;;;;;382
Test14;50;USED;29.38;2239815;1.23;5.65;20.81;true;21.69;0.12;8.65;9.52;1.39;4.61;24.40;5.80;13.27;;;;;;;1910
Test15;50;USED;38.86;4293938;0.94;3.30;11.15;true;30.59;0.11;14.04;18.21;2.49;8.73;33.08;16.67;22.78;;;;;;;1910
Test16;50;USED;64.62;8869498;0.81;1.94;5.68;true;49.20;0.11;28.20;37.58;5.01;17.91;57.28;37.56;46.11;;;;;;;1910
Test17;50;USED;103.53;15890720;0.76;1.40;4.03;true;79.93;0.11;48.97;67.11;8.86;31.99;99.17;67.18;80.96;;;;;;;1910
Test18;50;USED;193.06;32095088;0.73;1.05;2.34;true;148.11;0.11;98.12;135.58;17.84;64.49;185.19;135.52;162.61;;;;;;;1910
Test19;50;USED;381.14;67108864;0.71;0.86;1.37;true;295.71;0.11;200.54;283.24;37.14;134.71;376.77;283.20;335.26;;;;;;;1910
Test20;50;USED;746.39;134217728;0.70;0.78;1.09;true;581.87;0.11;398.95;566.23;74.10;269.30;740.92;566.25;668.26;;;;;;;1910
